Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
87,0,-0.0177735,0.0136691,-0.00963258,249.658,-321.448,233.073
88,0,-0.0177169,0.0139341,-0.00975183,249.658,-321.45,233.07
89,0,-0.0180071,0.0135771,-0.00967799,249.658,-321.44,233.076
90,0,-0.017962,0.0138099,-0.00949156,249.666,-321.459,233.073
91,0,-0.0179274,0.0142082,-0.00980426,249.632,-321.425,233.087
92,0,-0.018097,0.013657,-0.00965656,249.643,-321.443,233.075
93,0,-0.0176923,0.0138402,-0.00998504,249.639,-321.436,233.074
94,0,-0.0182879,0.0139548,-0.00945176,249.643,-321.441,233.082
95,0,-0.0175351,0.0140881,-0.00981272,249.654,-321.448,233.075
96,0,-0.0180485,0.0138497,-0.00953753,249.655,-321.442,233.081
97,0,-0.0182531,0.0140724,-0.00958598,249.654,-321.453,233.078
98,0,-0.0175699,0.0137853,-0.00980682,249.647,-321.441,233.079
99,0,-0.0178627,0.0135957,-0.00988528,249.644,-321.437,233.078
100,0,-0.0181712,0.014028,-0.00960534,249.65,-321.457,233.066
101,0,-0.0178597,0.0138154,-0.0100621,249.654,-321.442,233.075
102,0,-0.0177208,0.0139171,-0.00967681,249.652,-321.444,233.083
103,0,-0.017776,0.0139616,-0.00983198,249.65,-321.446,233.084
104,0,-0.0177342,0.0138295,-0.00996677,249.643,-321.426,233.086
105,0,-0.01799,0.0139755,-0.00966555,249.656,-321.441,233.075
106,0,-0.0177693,0.0137222,-0.00993358,249.64,-321.428,233.084
107,0,-0.0177542,0.0136999,-0.0101646,249.636,-321.433,233.072
108,0,-0.0180938,0.0136911,-0.00979797,249.637,-321.438,233.077
109,0,-0.0174577,0.0141475,-0.00949048,249.65,-321.441,233.078
110,0,-0.0178323,0.0135671,-0.00976682,249.644,-321.443,233.074
111,0,-0.0179559,0.0138141,-0.00990914,249.644,-321.43,233.09
112,0,-0.0181461,0.0137313,-0.0100796,249.643,-321.426,233.085
113,0,-0.0180485,0.0132779,-0.00946266,249.639,-321.438,233.076
114,0,-0.0179911,0.0137289,-0.00976142,249.637,-321.439,233.078
115,0,-0.0178046,0.0138607,-0.00972238,249.649,-321.44,233.078
116,0,-0.017885,0.0139468,-0.0096048,249.641,-321.432,233.082
117,0,-0.0182696,0.0139405,-0.00964351,249.653,-321.44,233.076
118,0,-0.0179815,0.013803,-0.00982542,249.654,-321.442,233.081
119,0,-0.0183536,0.0137309,-0.00989198,249.662,-321.446,233.077
120,0,-0.017846,0.0136875,-0.00993335,249.638,-321.443,233.076
121,0,-0.0182948,0.0139648,-0.00979043,249.639,-321.437,233.075
122,0,-0.0180203,0.0136898,-0.00967727,249.639,-321.442,233.079
123,0,-0.0175033,0.0138965,-0.00970689,249.653,-321.449,233.073
124,0,-0.0176672,0.0137909,-0.00979448,249.647,-321.438,233.082
125,0,-0.0179013,0.013696,-0.00993649,249.64,-321.433,233.079
126,0,-0.0177028,0.0136077,-0.00985529,249.653,-321.43,233.078
127,0,-0.0178093,0.013579,-0.00953982,249.669,-321.459,233.061
128,0,-0.0180886,0.01368,-0.00965975,249.633,-321.444,233.086
129,0,-0.017891,0.0138091,-0.00951034,249.636,-321.439,233.082
130,0,-0.0178707,0.013832,-0.00980661,249.649,-321.437,233.075
131,0,-0.0180066,0.013687,-0.00971974,249.656,-321.445,233.068
132,0,-0.018172,0.0133658,-0.00986184,249.641,-321.439,233.072
133,0,-0.0171963,0.0136404,-0.00985421,249.648,-321.437,233.079
134,0,-0.0179557,0.013911,-0.00947722,249.663,-321.442,233.073
135,0,-0.0181745,0.0138887,-0.00953698,249.655,-321.445,233.079
136,0,-0.0180112,0.0137301,-0.00966404,249.638,-321.435,233.082
137,0,-0.0180078,0.0135622,-0.00940642,249.644,-321.461,233.07
138,0,-0.018336,0.0136994,-0.0100427,249.648,-321.431,233.075
